,1. open,2. high,3. low,4. close,5. volume
2022-06-27 11:55:00,246.7500,247.1100,246.0070,246.4250,546948
2022-06-27 11:50:00,247.4130,247.4900,246.7700,246.7920,260820
2022-06-27 11:45:00,247.9810,248.1300,247.1800,247.5000,339870
2022-06-27 11:40:00,247.0700,248.0270,246.9000,247.9770,472203
2022-06-27 11:35:00,246.5730,247.2300,246.4270,247.0270,401067
2022-06-27 11:30:00,247.6440,247.6670,246.5170,246.6630,634599
2022-06-27 11:25:00,247.7550,248.3330,247.6030,247.6670,556602
2022-06-27 11:20:00,247.3330,248.1060,246.9870,247.7600,500601
2022-06-27 11:15:00,247.3170,248.4000,247.0000,247.3430,649389
2022-06-27 11:10:00,247.1670,247.6630,246.8330,247.3170,397098
2022-06-27 11:05:00,248.3070,248.3070,247.2000,247.2070,390804
2022-06-27 11:00:00,248.8230,249.1030,247.7200,248.2620,614259
2022-06-27 10:55:00,248.6070,249.7670,248.4800,248.7920,863175
2022-06-27 10:50:00,248.7800,249.2030,248.0700,248.5170,765423
2022-06-27 10:45:00,248.0000,248.8930,247.2900,248.6370,903474
2022-06-27 10:40:00,247.2430,248.2470,246.5700,248.0020,864909
2022-06-27 10:35:00,247.5700,247.8300,246.3700,247.2540,784221
2022-06-27 10:30:00,245.8170,247.9970,245.5830,247.5900,1083147
2022-06-27 10:25:00,246.1100,246.7330,245.2670,245.9720,761898
2022-06-27 10:20:00,245.5100,246.8270,245.2610,246.0300,840795
2022-06-27 10:15:00,245.3970,246.4000,244.8890,245.6030,1233957
2022-06-27 10:10:00,248.3850,248.8100,245.1100,245.5190,1476801
2022-06-27 10:05:00,250.0870,250.3330,247.7690,248.3130,1149933
2022-06-27 10:00:00,247.0000,250.3900,246.8530,250.1030,1846647
2022-06-27 09:55:00,247.5070,248.1730,246.3930,246.9900,1511271
2022-06-27 09:50:00,244.7230,247.9300,243.5070,247.5150,2070693
2022-06-27 09:45:00,244.8670,245.1000,244.1730,244.7280,1176114
2022-06-27 09:40:00,248.1200,248.2930,244.0270,244.8530,1586106
2022-06-27 09:35:00,247.3730,248.5870,245.8740,248.1600,2028891
2022-06-27 09:30:00,249.3700,252.0700,247.3770,247.4150,3118008
2022-06-24 15:55:00,245.4330,245.9500,244.9970,245.6300,2174574
2022-06-24 15:50:00,244.6000,245.6670,244.5930,245.3930,1681515
2022-06-24 15:45:00,244.2330,244.7670,244.1370,244.6300,857250
